Title,Rating,M.R.P(₹),Price(₹),Discount,URL
"Zebronics Nitro Plus Mechanical Keyboard, 104 Keys, Clicky Blue Switches, Integrated Multimedia Keys, Multicolor LED, Windows Lock Function, 1.5m Durable Cable (Black)",4.1 out of 5 stars,"2,999","1,676",44 %,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTgzMDgxNTc3OTQ3MzU3OjE3NjMwMTA0MzI6c3BfbXRmOjMwMDQyNDMwMzY1NDAzMjo6MDo6&url=%2FZEBRONICS-Nitro-Plus-Mechanical-Integrated%2Fdp%2FB0DNFXZH25%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.tY1cLPn_HEPPCgy3Dymqp0Zni0QEvDcfa9xdX8bfFuyQdhy_GViIibsOevGS-FXDmOss0hue81ycp5KaGevP2ZrNUqqiAtVD_CP3cSf3DH5a_xRmW84BXny23zC8vBHcrexRtE6P_En5anFUhz3OsRoNjA0xXX_uK9Ic4NKYEcGUElMSY0eb27LHoZEgCGv8DOJ9sGaw6ZgVmBdjAHEIXwdTLgxoe5kreb2tiJEyXoc.PT13RgWJLaxHRa5zip8fZ-5--NInQX0uQyLjhe1F7H0%26dib_tag%3Dse%26keywords%3Dmechanical%2Bkeyboard%26qid%3D1763010432%26sr%3D8-11-spons%26aref%3Dfm7pB13RMW%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=fm7pB13RMW&sp_cr=ZAZ
"Portronics Hydra 10 Mechanical Wireless Gaming Keyboard with Bluetooth 5.3 + 2.4 GHz, RGB Lights 16.8 Million Colors, Type C Charging, Compatible with PCs, Smartphones and Tablets(Blue)",4.1 out of 5 stars,"9,999","2,499",75 %,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTgzMDgxNTc3OTQ3MzU3OjE3NjMwMTA0MzI6c3BfbXRmOjMwMDc5NzUzMDk0MjAzMjo6MDo6&url=%2FPortronics-Mechanical-Bluetooth-Compatible-Smartphones%2Fdp%2FB0C7R38H41%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.tY1cLPn_HEPPCgy3Dymqp0Zni0QEvDcfa9xdX8bfFuyQdhy_GViIibsOevGS-FXDmOss0hue81ycp5KaGevP2ZrNUqqiAtVD_CP3cSf3DH5a_xRmW84BXny23zC8vBHcrexRtE6P_En5anFUhz3OsRoNjA0xXX_uK9Ic4NKYEcGUElMSY0eb27LHoZEgCGv8DOJ9sGaw6ZgVmBdjAHEIXwdTLgxoe5kreb2tiJEyXoc.PT13RgWJLaxHRa5zip8fZ-5--NInQX0uQyLjhe1F7H0%26dib_tag%3Dse%26keywords%3Dmechanical%2Bkeyboard%26qid%3D1763010432%26sr%3D8-12-spons%26aref%3DDpD8ZjUR0z%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=DpD8ZjUR0z&sp_cr=ZAZ
"AULA F75 75% Wireless Mechanical Keyboard | Hot Swappable | Pre-lubed Linear Switches | RGB Backlit | 2.4GHz/Type-C/Bluetooth Gaming Keyboard (Thunder Black, Graywood Switch)",4.5 out of 5 stars,"15,999","5,999",63 %,https://www.amazon.in/AULA-F75-Mechanical-Swappable-Pre-lubed/dp/B0CYZHC69C/ref=sr_1_13?dib=eyJ2IjoiMSJ9.tY1cLPn_HEPPCgy3Dymqp0Zni0QEvDcfa9xdX8bfFuyQdhy_GViIibsOevGS-FXDmOss0hue81ycp5KaGevP2ZrNUqqiAtVD_CP3cSf3DH5a_xRmW84BXny23zC8vBHcrexRtE6P_En5anFUhz3OsRoNjA0xXX_uK9Ic4NKYEcGUElMSY0eb27LHoZEgCGv8DOJ9sGaw6ZgVmBdjAHEIXwdTLgxoe5kreb2tiJEyXoc.PT13RgWJLaxHRa5zip8fZ-5--NInQX0uQyLjhe1F7H0&dib_tag=se&keywords=mechanical+keyboard&qid=1763010432&sr=8-13
HP GK400Y Mechanical Gaming Keyboard/Light Sync Backlit/Auto-Sleep Mode/RGB Colour/Full-Size Mechanical Keyboard,4.1 out of 5 stars,"3,999","1,997",50 %,https://www.amazon.in/HP-GK400Y-Mechanical-Auto-Sleep-Full-Size/dp/B0CX8MH9XN/ref=sr_1_14?dib=eyJ2IjoiMSJ9.tY1cLPn_HEPPCgy3Dymqp0Zni0QEvDcfa9xdX8bfFuyQdhy_GViIibsOevGS-FXDmOss0hue81ycp5KaGevP2ZrNUqqiAtVD_CP3cSf3DH5a_xRmW84BXny23zC8vBHcrexRtE6P_En5anFUhz3OsRoNjA0xXX_uK9Ic4NKYEcGUElMSY0eb27LHoZEgCGv8DOJ9sGaw6ZgVmBdjAHEIXwdTLgxoe5kreb2tiJEyXoc.PT13RgWJLaxHRa5zip8fZ-5--NInQX0uQyLjhe1F7H0&dib_tag=se&keywords=mechanical+keyboard&qid=1763010432&sr=8-14
"Ant Esports MK1300 V2 Portable 60 Percent Mechanical Keyboard, Compact 61 Keys Mini Gaming Keyboard for PC/Mac Gamer Switchable Colorful RGB Backlit Small Keyboard Brown Switch – White",4.1 out of 5 stars,"4,199","1,399",67 %,https://www.amazon.in/Ant-Esports-Portable-Mechanical-Switchable/dp/B0F198FYBS/ref=sr_1_15?dib=eyJ2IjoiMSJ9.tY1cLPn_HEPPCgy3Dymqp0Zni0QEvDcfa9xdX8bfFuyQdhy_GViIibsOevGS-FXDmOss0hue81ycp5KaGevP2ZrNUqqiAtVD_CP3cSf3DH5a_xRmW84BXny23zC8vBHcrexRtE6P_En5anFUhz3OsRoNjA0xXX_uK9Ic4NKYEcGUElMSY0eb27LHoZEgCGv8DOJ9sGaw6ZgVmBdjAHEIXwdTLgxoe5kreb2tiJEyXoc.PT13RgWJLaxHRa5zip8fZ-5--NInQX0uQyLjhe1F7H0&dib_tag=se&keywords=mechanical+keyboard&qid=1763010432&sr=8-15
Cosmic Byte CB-GK-27 Vanth Mechanical Keyboard Upgraded with Swappable Outemu Blue Switches and Rainbow LED (Black/Grey),4.1 out of 5 stars,"2,299","1,699",26 %,https://www.amazon.in/Cosmic-Byte-CB-GK-27-Mechanical-Keyboard/dp/B09MQZY875/ref=sr_1_16?dib=eyJ2IjoiMSJ9.tY1cLPn_HEPPCgy3Dymqp0Zni0QEvDcfa9xdX8bfFuyQdhy_GViIibsOevGS-FXDmOss0hue81ycp5KaGevP2ZrNUqqiAtVD_CP3cSf3DH5a_xRmW84BXny23zC8vBHcrexRtE6P_En5anFUhz3OsRoNjA0xXX_uK9Ic4NKYEcGUElMSY0eb27LHoZEgCGv8DOJ9sGaw6ZgVmBdjAHEIXwdTLgxoe5kreb2tiJEyXoc.PT13RgWJLaxHRa5zip8fZ-5--NInQX0uQyLjhe1F7H0&dib_tag=se&keywords=mechanical+keyboard&qid=1763010432&sr=8-16
amazon basics Pro Series RGB Wired Mechanical Gaming Keyboard | Red switches with 40g Actuation Force | Customizable & Programmable RGB | 61 Swappable Key Full Rollover Layout (Black),4.2 out of 5 stars,"5,999","1,649",73 %,https://www.amazon.in/amazon-basics-Mechanical-Customizable-Programmable/dp/B0D5HKX374/ref=sr_1_17?dib=eyJ2IjoiMSJ9.tY1cLPn_HEPPCgy3Dymqp0Zni0QEvDcfa9xdX8bfFuyQdhy_GViIibsOevGS-FXDmOss0hue81ycp5KaGevP2ZrNUqqiAtVD_CP3cSf3DH5a_xRmW84BXny23zC8vBHcrexRtE6P_En5anFUhz3OsRoNjA0xXX_uK9Ic4NKYEcGUElMSY0eb27LHoZEgCGv8DOJ9sGaw6ZgVmBdjAHEIXwdTLgxoe5kreb2tiJEyXoc.PT13RgWJLaxHRa5zip8fZ-5--NInQX0uQyLjhe1F7H0&dib_tag=se&keywords=mechanical+keyboard&qid=1763010432&sr=8-17
"AULA F99 Wireless Mechanical Keyboard | Tri-Mode BT5.0/2.4GHz/USB-C Hot Swappable | Pre-lubed Linear Switches, Gasket Structure | RGB Backlit Gaming Keyboard (Grey+White - Graywood Switch)",4.6 out of 5 stars,"19,999","6,999",65 %,https://www.amazon.in/AULA-Mechanical-Swappable-Grey-White/dp/B0CLLHSWRL/ref=sr_1_18?dib=eyJ2IjoiMSJ9.tY1cLPn_HEPPCgy3Dymqp0Zni0QEvDcfa9xdX8bfFuyQdhy_GViIibsOevGS-FXDmOss0hue81ycp5KaGevP2ZrNUqqiAtVD_CP3cSf3DH5a_xRmW84BXny23zC8vBHcrexRtE6P_En5anFUhz3OsRoNjA0xXX_uK9Ic4NKYEcGUElMSY0eb27LHoZEgCGv8DOJ9sGaw6ZgVmBdjAHEIXwdTLgxoe5kreb2tiJEyXoc.PT13RgWJLaxHRa5zip8fZ-5--NInQX0uQyLjhe1F7H0&dib_tag=se&keywords=mechanical+keyboard&qid=1763010432&sr=8-18
"EvoFox Katana S Mini Wireless Mechanical Keyboard | Tri-Mode (3X BT, 2.4GHz & Wired) Connectivity | Hot-Swappable Red Switches | 68-Key Compact Layout | Rainbow Backlight | Rechargeable Battery",3.9 out of 5 stars,"3,499","2,399",31 %,https://www.amazon.in/EvoFox-Mechanical-Connectivity-Hot-Swappable-Rechargeable/dp/B0FBRWPD79/ref=sr_1_19?dib=eyJ2IjoiMSJ9.tY1cLPn_HEPPCgy3Dymqp0Zni0QEvDcfa9xdX8bfFuyQdhy_GViIibsOevGS-FXDmOss0hue81ycp5KaGevP2ZrNUqqiAtVD_CP3cSf3DH5a_xRmW84BXny23zC8vBHcrexRtE6P_En5anFUhz3OsRoNjA0xXX_uK9Ic4NKYEcGUElMSY0eb27LHoZEgCGv8DOJ9sGaw6ZgVmBdjAHEIXwdTLgxoe5kreb2tiJEyXoc.PT13RgWJLaxHRa5zip8fZ-5--NInQX0uQyLjhe1F7H0&dib_tag=se&keywords=mechanical+keyboard&qid=1763010432&sr=8-19
"EvoFox Katana X2 TKL Wireless Mechanical Gaming Keyboard – Tri-Mode (BT/2.4G/Wired), Silent Red Switches, 1000Hz Polling Rate, Vivid and Dynamic Backlighting, 4000mAh Battery, Volume Knob (Black)",4.4 out of 5 stars,"3,999","2,799",30 %,https://www.amazon.in/EvoFox-Katana-Wireless-Mechanical-Keyboard/dp/B0FKGTR8DN/ref=sr_1_20?dib=eyJ2IjoiMSJ9.tY1cLPn_HEPPCgy3Dymqp0Zni0QEvDcfa9xdX8bfFuyQdhy_GViIibsOevGS-FXDmOss0hue81ycp5KaGevP2ZrNUqqiAtVD_CP3cSf3DH5a_xRmW84BXny23zC8vBHcrexRtE6P_En5anFUhz3OsRoNjA0xXX_uK9Ic4NKYEcGUElMSY0eb27LHoZEgCGv8DOJ9sGaw6ZgVmBdjAHEIXwdTLgxoe5kreb2tiJEyXoc.PT13RgWJLaxHRa5zip8fZ-5--NInQX0uQyLjhe1F7H0&dib_tag=se&keywords=mechanical+keyboard&qid=1763010432&sr=8-20
