Title,Rating,M.R.P(₹),Price(₹),Discount,URL
PCIe Power Splitter Adapter Cable 8 Pin Female to Dual 8 Pin Male (6+2) GPU Power Adapter Y Splitter Cable PCIe Express GPU Video Card Power Supply Cables 0.2m (Black+Yellow),4.2 out of 5 stars,600,301,50 %,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NTk2MDg1NTM0NTk2ODY2OjE3NjMwMTIxNTI6c3BfbXRmOjMwMDY3NTU2MDM4MzIzMjo6MDo6&url=%2FCABLESETC-Splitter-Adapter-Female-Express%2Fdp%2FB09Q8YFBWZ%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.1PCQxbuD9czwDnXjr0wVihecA3x9mmj_xC8CvAm3f7AW3D8L7r7-7olptBWToX2x8U0vlwd5PTtQrjYTrs0vZJBdWuZbUGatEXSG-eW_JaCz9Jvw3367Hag7I2maa6bZ1rbaeoo-pJVxjO0E2s9L4faU_CoP3sBsDlGjTAmkTSLaMalmaBsthXI_R00_dJR5yJuogpXgMaST4J27pfAPFryBaxTV8UIMOqrxwr8Nl40.3lJNXH2f59_FbRRWHJsl9-mQWZ38kMy-WOLHaSEbegY%26dib_tag%3Dse%26keywords%3DGPU%26qid%3D1763012152%26sr%3D8-11-spons%26aref%3D2kMiIGx3Vb%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=2kMiIGx3Vb&sp_cr=ZAZ
"POWER COLOR Red Dragon AMD RX 550, 2GB GDDR5 Graphics Card",3.8 out of 5 stars,"9,999","4,299",57 %,https://www.amazon.in/POWER-COLOR-Dragon-550-Graphics/dp/B09ZMR7VQJ/ref=sr_1_12?dib=eyJ2IjoiMSJ9.1PCQxbuD9czwDnXjr0wVihecA3x9mmj_xC8CvAm3f7AW3D8L7r7-7olptBWToX2x8U0vlwd5PTtQrjYTrs0vZJBdWuZbUGatEXSG-eW_JaCz9Jvw3367Hag7I2maa6bZ1rbaeoo-pJVxjO0E2s9L4faU_CoP3sBsDlGjTAmkTSLaMalmaBsthXI_R00_dJR5yJuogpXgMaST4J27pfAPFryBaxTV8UIMOqrxwr8Nl40.3lJNXH2f59_FbRRWHJsl9-mQWZ38kMy-WOLHaSEbegY&dib_tag=se&keywords=GPU&qid=1763012152&sr=8-12
ZOTAC Gaming Geforce RTX 5060 Ti Twin Edge Graphics Card - Black | 16 GB | DLSS 4 | GDDR7 | 128 Bit | Icestorm 2.0 Advanced Cooling | Dual Fan | SFF Ready | ZT-B50620E-10M,4.6 out of 5 stars,"71,225","49,739",30 %,https://www.amazon.in/ZOTAC-Gaming-Geforce-5060-Graphics/dp/B0F55FWKR9/ref=sr_1_13?dib=eyJ2IjoiMSJ9.1PCQxbuD9czwDnXjr0wVihecA3x9mmj_xC8CvAm3f7AW3D8L7r7-7olptBWToX2x8U0vlwd5PTtQrjYTrs0vZJBdWuZbUGatEXSG-eW_JaCz9Jvw3367Hag7I2maa6bZ1rbaeoo-pJVxjO0E2s9L4faU_CoP3sBsDlGjTAmkTSLaMalmaBsthXI_R00_dJR5yJuogpXgMaST4J27pfAPFryBaxTV8UIMOqrxwr8Nl40.3lJNXH2f59_FbRRWHJsl9-mQWZ38kMy-WOLHaSEbegY&dib_tag=se&keywords=GPU&qid=1763012152&sr=8-13
GIGABYTE NVIDIA GeForce RTX 3060 WINDFORCE OC 12GB GDDR6 pci_e_x16 Graphics Card (GV-N3060WF2OC-12GD),4.4 out of 5 stars,"86,000","26,999",69 %,https://www.amazon.in/GIGABYTE-WINDFORCE-pci_e_x16-Graphics-GV-N3060WF2OC-12GD/dp/B0BNP2CMXM/ref=sr_1_14?dib=eyJ2IjoiMSJ9.1PCQxbuD9czwDnXjr0wVihecA3x9mmj_xC8CvAm3f7AW3D8L7r7-7olptBWToX2x8U0vlwd5PTtQrjYTrs0vZJBdWuZbUGatEXSG-eW_JaCz9Jvw3367Hag7I2maa6bZ1rbaeoo-pJVxjO0E2s9L4faU_CoP3sBsDlGjTAmkTSLaMalmaBsthXI_R00_dJR5yJuogpXgMaST4J27pfAPFryBaxTV8UIMOqrxwr8Nl40.3lJNXH2f59_FbRRWHJsl9-mQWZ38kMy-WOLHaSEbegY&dib_tag=se&keywords=GPU&qid=1763012152&sr=8-14
"ASUS Dual Radeon Rx 7600 V2 Oc Edition 8Gb Gddr6 Graphics Card (Pcie 4.0, 8Gb Gddr6, Hdmi 2.1, Displayport 1.4A, 2.5-Slot Design, Axial-Tech Fans, Gpu Tweak Iii) - Pci_E_X16",4.6 out of 5 stars,"66,750","25,000",63 %,https://www.amazon.in/ASUS-RadeonTM-Graphics-DisplayPort-Axial-tech/dp/B0C7JP2SQ2/ref=sr_1_15?dib=eyJ2IjoiMSJ9.1PCQxbuD9czwDnXjr0wVihecA3x9mmj_xC8CvAm3f7AW3D8L7r7-7olptBWToX2x8U0vlwd5PTtQrjYTrs0vZJBdWuZbUGatEXSG-eW_JaCz9Jvw3367Hag7I2maa6bZ1rbaeoo-pJVxjO0E2s9L4faU_CoP3sBsDlGjTAmkTSLaMalmaBsthXI_R00_dJR5yJuogpXgMaST4J27pfAPFryBaxTV8UIMOqrxwr8Nl40.3lJNXH2f59_FbRRWHJsl9-mQWZ38kMy-WOLHaSEbegY&dib_tag=se&keywords=GPU&qid=1763012152&sr=8-15
"Enter 1GB DDR3 PCI Express (2.0) High Efficiency, Quality Gaming Graphics Card with HDMI, DVI & VGA Ports | GT218 GPU | Single Fan Cooling, 3 Years Warranty (E-GT210)",3.5 out of 5 stars,"4,995","1,233",75 %,https://www.amazon.in/Enter-Express-Efficiency-Graphics-Warranty/dp/B0F443HHNL/ref=sr_1_16?dib=eyJ2IjoiMSJ9.1PCQxbuD9czwDnXjr0wVihecA3x9mmj_xC8CvAm3f7AW3D8L7r7-7olptBWToX2x8U0vlwd5PTtQrjYTrs0vZJBdWuZbUGatEXSG-eW_JaCz9Jvw3367Hag7I2maa6bZ1rbaeoo-pJVxjO0E2s9L4faU_CoP3sBsDlGjTAmkTSLaMalmaBsthXI_R00_dJR5yJuogpXgMaST4J27pfAPFryBaxTV8UIMOqrxwr8Nl40.3lJNXH2f59_FbRRWHJsl9-mQWZ38kMy-WOLHaSEbegY&dib_tag=se&keywords=GPU&qid=1763012152&sr=8-16
"Galax GeForce RTX 3060 OC Edition 12GB GDDR6 192-bit 15 Gbps| PCI 4.0 | 3 x DisplayPort 1.4a | HDMI 2.1| NVIDIA DLSS | Advanced AI & Ray Tracing Performance, XtremeTuner Plus, Dual Fan Graphics Card",4.8 out of 5 stars,"30,000","25,999",13 %,https://www.amazon.in/Galax-DisplayPort-Advanced-Performance-XtremeTuner/dp/B092CNSSV5/ref=sr_1_17?dib=eyJ2IjoiMSJ9.1PCQxbuD9czwDnXjr0wVihecA3x9mmj_xC8CvAm3f7AW3D8L7r7-7olptBWToX2x8U0vlwd5PTtQrjYTrs0vZJBdWuZbUGatEXSG-eW_JaCz9Jvw3367Hag7I2maa6bZ1rbaeoo-pJVxjO0E2s9L4faU_CoP3sBsDlGjTAmkTSLaMalmaBsthXI_R00_dJR5yJuogpXgMaST4J27pfAPFryBaxTV8UIMOqrxwr8Nl40.3lJNXH2f59_FbRRWHJsl9-mQWZ38kMy-WOLHaSEbegY&dib_tag=se&keywords=GPU&qid=1763012152&sr=8-17
PCIe Power Splitter Adapter Cable 8 Pin Female to Dual 8 Pin Male (6+2) GPU Power Adapter Y Splitter Cable PCIe Express GPU Video Card Power Supply Cables 0.2m (Black+Yellow),4.2 out of 5 stars,600,301,50 %,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyODI4ODY0MTg5NTg5MDc3OjE3NjMwMTIxNTg6c3BfYXRmX25leHQ6MzAwNjc1NTYwMzgzMjMyOjowOjo&url=%2FCABLESETC-Splitter-Adapter-Female-Express%2Fdp%2FB09Q8YFBWZ%2Fref%3Dsr_1_17_sspa%3Fdib%3DeyJ2IjoiMSJ9.-M8p49EJS1WBuXddXI3yuXhNoJIW8NwEGU7OgJ3uuFe5vykrjT-Q1oKGeeV16XuzfQJE68yp9dz1TPyS0zKdaEu0V-NBKX6f89wyLiwybYMe0aJhtQNAmAGTRlT1ECdK_RQJPvV4AiQdVwoISaOJZy0hrOnHwzkiXXWRR1KBTOcV47U-mYRcOtB5bUMJGqumgSZYGHvxshJW_rh9LwKnqqBIlK58InG-WhbDX6Pjc5U.IZ2V3MVNwvftqGTwtwUGVxMmetjch8msXBkN6s6JwoU%26dib_tag%3Dse%26keywords%3DGPU%26qid%3D1763012158%26sr%3D8-17-spons%26aref%3D2kMiIGx3Vb%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=2kMiIGx3Vb&sp_cr=ZAZ
ZOTAC Gaming GeForce RTX 5050 Solo Graphics Card - Black | 8 GB | DLSS 4 | GDDR6 | 128 bit | Dual Fan | 2560 CUDA Cores | ZT-B50500H-10M,3.8 out of 5 stars,"41,070","24,905",39 %,https://www.amazon.in/ZOTAC-Gaming-GeForce-5050-Graphics/dp/B0FH9R8GQ2/ref=sr_1_18?dib=eyJ2IjoiMSJ9.-M8p49EJS1WBuXddXI3yuXhNoJIW8NwEGU7OgJ3uuFe5vykrjT-Q1oKGeeV16XuzfQJE68yp9dz1TPyS0zKdaEu0V-NBKX6f89wyLiwybYMe0aJhtQNAmAGTRlT1ECdK_RQJPvV4AiQdVwoISaOJZy0hrOnHwzkiXXWRR1KBTOcV47U-mYRcOtB5bUMJGqumgSZYGHvxshJW_rh9LwKnqqBIlK58InG-WhbDX6Pjc5U.IZ2V3MVNwvftqGTwtwUGVxMmetjch8msXBkN6s6JwoU&dib_tag=se&keywords=GPU&qid=1763012158&sr=8-18
INNO3D NVIDIA GEFORCE Pci_E_4 RTX 3050 Twin X2 V2 6GB GDDR6 96-Bit Pcie 4.0 Gaming Graphics Card - N30502-06D6-1880VA60,4.8 out of 5 stars,"26,460","16,014",39 %,https://www.amazon.in/INNO3D-NVIDIA-GEFORCE-96-bit-Graphics/dp/B0DY4NSLCR/ref=sr_1_19?dib=eyJ2IjoiMSJ9.-M8p49EJS1WBuXddXI3yuXhNoJIW8NwEGU7OgJ3uuFe5vykrjT-Q1oKGeeV16XuzfQJE68yp9dz1TPyS0zKdaEu0V-NBKX6f89wyLiwybYMe0aJhtQNAmAGTRlT1ECdK_RQJPvV4AiQdVwoISaOJZy0hrOnHwzkiXXWRR1KBTOcV47U-mYRcOtB5bUMJGqumgSZYGHvxshJW_rh9LwKnqqBIlK58InG-WhbDX6Pjc5U.IZ2V3MVNwvftqGTwtwUGVxMmetjch8msXBkN6s6JwoU&dib_tag=se&keywords=GPU&qid=1763012158&sr=8-19
