Title,Rating,M.R.P(₹),Price(₹),Discount,URL
"Apple 2025 MacBook Pro Laptop with M5 chip, 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 35.97 cm (14.2″) Liquid Retina XDR Display, 24GB Unified Memory, 1TB SSD Storage; Space Black",No Rating Available,"2,09,900","2,02,990",3 %,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTAzMDk3MjI1Mzk0ODM6MTc2MzAxMDkzNjpzcF9tdGY6MzAwNzk0Njk4NTExNjMyOjowOjo&url=%2FApple-2025-MacBook-Laptop-10%25E2%2580%2591core%2Fdp%2FB0FWDBH2T2%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.p0f--K2Apn266oESPmWpnRHRsxc69Le_XIUS6DOHEgkxodTS262T-OWU0kvC1WDmxXO9zUkd2Nv-BrHUYllocXNVqqbm6-4koMLaZQtomdzjhe7ISS_Iz_KrZWZfJMBdBYvRRnwUzDj1PgOz5LY2IfXoAPaoqzR5dcT26unbxhv3mqrZs9_fKadmSGaxYGh_u3pyn5q2x24cFj_KhZ_rMoXM8Ivq1d8uxaexoxeu7Cc.an6l0O3X-xZk3Fs2HvIaCE2O5v81Haa4bGY14QWPMpU%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1763010936%26sr%3D8-11-spons%26aref%3D1cHwUP0Uyl%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=1cHwUP0Uyl&sp_cr=ZAZ
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 256GB) - Sky Blue",4.6 out of 5 stars,"1,24,900","1,19,490",4 %,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTAzMDk3MjI1Mzk0ODM6MTc2MzAxMDkzNjpzcF9tdGY6MzAwNDk5NDUzMzQ4NTMyOjowOjo&url=%2FApple-MacBook-15-inch-10-core-Unified%2Fdp%2FB0DZDDK21R%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.p0f--K2Apn266oESPmWpnRHRsxc69Le_XIUS6DOHEgkxodTS262T-OWU0kvC1WDmxXO9zUkd2Nv-BrHUYllocXNVqqbm6-4koMLaZQtomdzjhe7ISS_Iz_KrZWZfJMBdBYvRRnwUzDj1PgOz5LY2IfXoAPaoqzR5dcT26unbxhv3mqrZs9_fKadmSGaxYGh_u3pyn5q2x24cFj_KhZ_rMoXM8Ivq1d8uxaexoxeu7Cc.an6l0O3X-xZk3Fs2HvIaCE2O5v81Haa4bGY14QWPMpU%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1763010936%26sr%3D8-12-spons%26aref%3DOtF10tsLsV%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=OtF10tsLsV&sp_cr=ZAZ
"HP 15s, 12th Gen Intel Core i3-1215U (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm,FHD, Win 11, MS Office 21, Silver, 1.69kg, fy5006tu/fd0751tu/fd0752tu, UHD Graphics, HD Camera, Dual Speakers Laptop",4.0 out of 5 stars,"42,359","32,990",22 %,https://www.amazon.in/HP-i3-1215U-Anti-Glare-15-6inch-Graphics/dp/B0CJBL2QWY/ref=sr_1_13?dib=eyJ2IjoiMSJ9.p0f--K2Apn266oESPmWpnRHRsxc69Le_XIUS6DOHEgkxodTS262T-OWU0kvC1WDmxXO9zUkd2Nv-BrHUYllocXNVqqbm6-4koMLaZQtomdzjhe7ISS_Iz_KrZWZfJMBdBYvRRnwUzDj1PgOz5LY2IfXoAPaoqzR5dcT26unbxhv3mqrZs9_fKadmSGaxYGh_u3pyn5q2x24cFj_KhZ_rMoXM8Ivq1d8uxaexoxeu7Cc.an6l0O3X-xZk3Fs2HvIaCE2O5v81Haa4bGY14QWPMpU&dib_tag=se&keywords=Laptop&qid=1763010936&sr=8-13
"Lenovo V14 Intel Core i5 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/Office 2024/Iron Grey/1.43 kg), 83A0A0PTIN",3.8 out of 5 stars,"90,000","47,990",47 %,https://www.amazon.in/Lenovo-1920x1080-Antiglare-Windows-83A0A0PTIN/dp/B0FNS3DM56/ref=sr_1_14?dib=eyJ2IjoiMSJ9.p0f--K2Apn266oESPmWpnRHRsxc69Le_XIUS6DOHEgkxodTS262T-OWU0kvC1WDmxXO9zUkd2Nv-BrHUYllocXNVqqbm6-4koMLaZQtomdzjhe7ISS_Iz_KrZWZfJMBdBYvRRnwUzDj1PgOz5LY2IfXoAPaoqzR5dcT26unbxhv3mqrZs9_fKadmSGaxYGh_u3pyn5q2x24cFj_KhZ_rMoXM8Ivq1d8uxaexoxeu7Cc.an6l0O3X-xZk3Fs2HvIaCE2O5v81Haa4bGY14QWPMpU&dib_tag=se&keywords=Laptop&qid=1763010936&sr=8-14
"Acer Aspire 3, Intel Celeron N4500, 12 GB RAM, 256 GB SSD, HD 14""/35.56 cm, Windows 11 Home, Silver, 1.3 kg, A324-45, Thin and Light Laptop",3.4 out of 5 stars,"29,990","21,990",27 %,https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A324-45/dp/B0D7PSYS6B/ref=sr_1_15?dib=eyJ2IjoiMSJ9.p0f--K2Apn266oESPmWpnRHRsxc69Le_XIUS6DOHEgkxodTS262T-OWU0kvC1WDmxXO9zUkd2Nv-BrHUYllocXNVqqbm6-4koMLaZQtomdzjhe7ISS_Iz_KrZWZfJMBdBYvRRnwUzDj1PgOz5LY2IfXoAPaoqzR5dcT26unbxhv3mqrZs9_fKadmSGaxYGh_u3pyn5q2x24cFj_KhZ_rMoXM8Ivq1d8uxaexoxeu7Cc.an6l0O3X-xZk3Fs2HvIaCE2O5v81Haa4bGY14QWPMpU&dib_tag=se&keywords=Laptop&qid=1763010936&sr=8-15
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i5-13420H 15.3""(38.8cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Win 11/Office Home 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg), 83K100CGIN",4.0 out of 5 stars,"85,000","55,862",34 %,https://www.amazon.in/Lenovo-IdeaPad-i5-13420H-Backlit-83K100CGIN/dp/B0F637DPFW/ref=sr_1_16?dib=eyJ2IjoiMSJ9.p0f--K2Apn266oESPmWpnRHRsxc69Le_XIUS6DOHEgkxodTS262T-OWU0kvC1WDmxXO9zUkd2Nv-BrHUYllocXNVqqbm6-4koMLaZQtomdzjhe7ISS_Iz_KrZWZfJMBdBYvRRnwUzDj1PgOz5LY2IfXoAPaoqzR5dcT26unbxhv3mqrZs9_fKadmSGaxYGh_u3pyn5q2x24cFj_KhZ_rMoXM8Ivq1d8uxaexoxeu7Cc.an6l0O3X-xZk3Fs2HvIaCE2O5v81Haa4bGY14QWPMpU&dib_tag=se&keywords=Laptop&qid=1763010936&sr=8-16
"BrowseBook 14.1"" FHD IPS Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB RAM | 128GB SSD | Windows 11 | 38Wh | 1.3kg | Grey",3.1 out of 5 stars,"30,000","12,990",57 %,https://www.amazon.in/Neopticon-BrowseBook-Student-Celeron-Windows/dp/B0FC64RYH1/ref=sr_1_17?dib=eyJ2IjoiMSJ9.p0f--K2Apn266oESPmWpnRHRsxc69Le_XIUS6DOHEgkxodTS262T-OWU0kvC1WDmxXO9zUkd2Nv-BrHUYllocXNVqqbm6-4koMLaZQtomdzjhe7ISS_Iz_KrZWZfJMBdBYvRRnwUzDj1PgOz5LY2IfXoAPaoqzR5dcT26unbxhv3mqrZs9_fKadmSGaxYGh_u3pyn5q2x24cFj_KhZ_rMoXM8Ivq1d8uxaexoxeu7Cc.an6l0O3X-xZk3Fs2HvIaCE2O5v81Haa4bGY14QWPMpU&dib_tag=se&keywords=Laptop&qid=1763010936&sr=8-17
Ultimus APEX Pro Intel Pentium Quad Core Laptop 4GB RAM 128GB eMMC SSD Expandable~512GB Ultra Thin Bezel 180° Hinge 2.0x1 3.0x1 USB HDMI SD Card Slot Dual Speaker Win11 Home Cloud Silver 1.2Kg,2.9 out of 5 stars,"27,990","11,990",57 %,https://www.amazon.in/Ultimus-Pentium-Laptop-Expandable-512GB-Speaker/dp/B0FKM5KW4R/ref=sr_1_18?dib=eyJ2IjoiMSJ9.p0f--K2Apn266oESPmWpnRHRsxc69Le_XIUS6DOHEgkxodTS262T-OWU0kvC1WDmxXO9zUkd2Nv-BrHUYllocXNVqqbm6-4koMLaZQtomdzjhe7ISS_Iz_KrZWZfJMBdBYvRRnwUzDj1PgOz5LY2IfXoAPaoqzR5dcT26unbxhv3mqrZs9_fKadmSGaxYGh_u3pyn5q2x24cFj_KhZ_rMoXM8Ivq1d8uxaexoxeu7Cc.an6l0O3X-xZk3Fs2HvIaCE2O5v81Haa4bGY14QWPMpU&dib_tag=se&keywords=Laptop&qid=1763010936&sr=8-18
Ultimus APEX Pro Intel Pentium Quad Core Laptop 4GB RAM 128GB eMMC SSD Expandable~512GB Ultra Thin Bezel 180° Hinge 2.0x1 3.0x1 USB HDMI SD Card Slot Dual Speaker Win11 Home Space Gray 1.2Kg,3.9 out of 5 stars,"27,990","11,990",57 %,https://www.amazon.in/Ultimus-Pentium-Laptop-Expandable-512GB-Speaker/dp/B0FKLYPDLQ/ref=sr_1_19?dib=eyJ2IjoiMSJ9.p0f--K2Apn266oESPmWpnRHRsxc69Le_XIUS6DOHEgkxodTS262T-OWU0kvC1WDmxXO9zUkd2Nv-BrHUYllocXNVqqbm6-4koMLaZQtomdzjhe7ISS_Iz_KrZWZfJMBdBYvRRnwUzDj1PgOz5LY2IfXoAPaoqzR5dcT26unbxhv3mqrZs9_fKadmSGaxYGh_u3pyn5q2x24cFj_KhZ_rMoXM8Ivq1d8uxaexoxeu7Cc.an6l0O3X-xZk3Fs2HvIaCE2O5v81Haa4bGY14QWPMpU&dib_tag=se&keywords=Laptop&qid=1763010936&sr=8-19
"HP 15, Intel Core Ultra 5 125H (16GB DDR5, 1TB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)*Office24, Silver, 1.65kg, fd1354TU, Intel Arc Graphics, FHD Camera w/Shutter, AI Powered Laptop",3.9 out of 5 stars,"78,719","64,990",17 %,https://www.amazon.in/HP-Office24-fd1354TU-Graphics-Shutter/dp/B0F5B1N9SJ/ref=sr_1_20?dib=eyJ2IjoiMSJ9.p0f--K2Apn266oESPmWpnRHRsxc69Le_XIUS6DOHEgkxodTS262T-OWU0kvC1WDmxXO9zUkd2Nv-BrHUYllocXNVqqbm6-4koMLaZQtomdzjhe7ISS_Iz_KrZWZfJMBdBYvRRnwUzDj1PgOz5LY2IfXoAPaoqzR5dcT26unbxhv3mqrZs9_fKadmSGaxYGh_u3pyn5q2x24cFj_KhZ_rMoXM8Ivq1d8uxaexoxeu7Cc.an6l0O3X-xZk3Fs2HvIaCE2O5v81Haa4bGY14QWPMpU&dib_tag=se&keywords=Laptop&qid=1763010936&sr=8-20
